DriverCode,DriverNumber,TeamName,GridPosition,Position,Status,Points,Year,EventName,CircuitName,RoundNumber,IsWetRace
VER,1,Red Bull Racing,3.0,1.0,Finished,25.0,2022,Azerbaijan Grand Prix,Baku,8,0
PER,11,Red Bull Racing,2.0,2.0,Finished,19.0,2022,Azerbaijan Grand Prix,Baku,8,0
RUS,63,Mercedes,5.0,3.0,Finished,15.0,2022,Azerbaijan Grand Prix,Baku,8,0
HAM,44,Mercedes,7.0,4.0,Finished,12.0,2022,Azerbaijan Grand Prix,Baku,8,0
GAS,10,AlphaTauri,6.0,5.0,Finished,10.0,2022,Azerbaijan Grand Prix,Baku,8,0
VET,5,Aston Martin,9.0,6.0,Finished,8.0,2022,Azerbaijan Grand Prix,Baku,8,0
ALO,14,Alpine,10.0,7.0,Finished,6.0,2022,Azerbaijan Grand Prix,Baku,8,0
RIC,3,McLaren,12.0,8.0,Finished,4.0,2022,Azerbaijan Grand Prix,Baku,8,0
NOR,4,McLaren,11.0,9.0,Finished,2.0,2022,Azerbaijan Grand Prix,Baku,8,0
OCO,31,Alpine,13.0,10.0,Finished,1.0,2022,Azerbaijan Grand Prix,Baku,8,0
BOT,77,Alfa Romeo,15.0,11.0,+1 Lap,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
ALB,23,Williams,17.0,12.0,+1 Lap,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
TSU,22,AlphaTauri,8.0,13.0,+1 Lap,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
MSC,47,Haas F1 Team,20.0,14.0,+1 Lap,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
LAT,6,Williams,18.0,15.0,+1 Lap,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
STR,18,Aston Martin,19.0,16.0,Vibrations,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
MAG,20,Haas F1 Team,16.0,17.0,Power Unit,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
ZHO,24,Alfa Romeo,14.0,18.0,Hydraulics,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
LEC,16,Ferrari,1.0,19.0,Power Unit,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
SAI,55,Ferrari,4.0,20.0,Hydraulics,0.0,2022,Azerbaijan Grand Prix,Baku,8,0
VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,2022,Canadian Grand Prix,Montréal,9,0
SAI,55,Ferrari,3.0,2.0,Finished,19.0,2022,Canadian Grand Prix,Montréal,9,0
HAM,44,Mercedes,4.0,3.0,Finished,15.0,2022,Canadian Grand Prix,Montréal,9,0
RUS,63,Mercedes,8.0,4.0,Finished,12.0,2022,Canadian Grand Prix,Montréal,9,0
LEC,16,Ferrari,19.0,5.0,Finished,10.0,2022,Canadian Grand Prix,Montréal,9,0
OCO,31,Alpine,7.0,6.0,Finished,8.0,2022,Canadian Grand Prix,Montréal,9,0
BOT,77,Alfa Romeo,11.0,7.0,Finished,6.0,2022,Canadian Grand Prix,Montréal,9,0
ZHO,24,Alfa Romeo,10.0,8.0,Finished,4.0,2022,Canadian Grand Prix,Montréal,9,0
ALO,14,Alpine,2.0,9.0,Finished,2.0,2022,Canadian Grand Prix,Montréal,9,0
STR,18,Aston Martin,17.0,10.0,Finished,1.0,2022,Canadian Grand Prix,Montréal,9,0
RIC,3,McLaren,9.0,11.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
VET,5,Aston Martin,16.0,12.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
ALB,23,Williams,12.0,13.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
GAS,10,AlphaTauri,15.0,14.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
NOR,4,McLaren,14.0,15.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
LAT,6,Williams,18.0,16.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
MAG,20,Haas F1 Team,5.0,17.0,Finished,0.0,2022,Canadian Grand Prix,Montréal,9,0
TSU,22,AlphaTauri,20.0,18.0,Accident,0.0,2022,Canadian Grand Prix,Montréal,9,0
MSC,47,Haas F1 Team,6.0,19.0,Engine,0.0,2022,Canadian Grand Prix,Montréal,9,0
PER,11,Red Bull Racing,13.0,20.0,Gearbox,0.0,2022,Canadian Grand Prix,Montréal,9,0
SAI,55,Ferrari,1.0,1.0,Finished,25.0,2022,British Grand Prix,Silverstone,10,0
PER,11,Red Bull Racing,4.0,2.0,Finished,18.0,2022,British Grand Prix,Silverstone,10,0
HAM,44,Mercedes,5.0,3.0,Finished,16.0,2022,British Grand Prix,Silverstone,10,0
LEC,16,Ferrari,3.0,4.0,Finished,12.0,2022,British Grand Prix,Silverstone,10,0
ALO,14,Alpine,7.0,5.0,Finished,10.0,2022,British Grand Prix,Silverstone,10,0
NOR,4,McLaren,6.0,6.0,Finished,8.0,2022,British Grand Prix,Silverstone,10,0
VER,1,Red Bull Racing,2.0,7.0,Finished,6.0,2022,British Grand Prix,Silverstone,10,0
MSC,47,Haas F1 Team,19.0,8.0,Finished,4.0,2022,British Grand Prix,Silverstone,10,0
VET,5,Aston Martin,18.0,9.0,Finished,2.0,2022,British Grand Prix,Silverstone,10,0
MAG,20,Haas F1 Team,17.0,10.0,Finished,1.0,2022,British Grand Prix,Silverstone,10,0
STR,18,Aston Martin,20.0,11.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
LAT,6,Williams,10.0,12.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
RIC,3,McLaren,14.0,13.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
TSU,22,AlphaTauri,13.0,14.0,Finished,0.0,2022,British Grand Prix,Silverstone,10,0
OCO,31,Alpine,15.0,15.0,Fuel pump,0.0,2022,British Grand Prix,Silverstone,10,0
GAS,10,AlphaTauri,11.0,16.0,Collision damage,0.0,2022,British Grand Prix,Silverstone,10,0
BOT,77,Alfa Romeo,12.0,17.0,Gearbox,0.0,2022,British Grand Prix,Silverstone,10,0
RUS,63,Mercedes,8.0,18.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
ZHO,24,Alfa Romeo,9.0,19.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
ALB,23,Williams,16.0,20.0,Collision,0.0,2022,British Grand Prix,Silverstone,10,0
LEC,16,Ferrari,2.0,1.0,Finished,25.0,2022,Austrian Grand Prix,Spielberg,11,0
